h1,title,description,price_usd,area,property_type,country,object_id,url
Видовой таунхаус у пляжа Пандава,Видовой таунхаус у пляжа Пандава,"Современный таунхаус с видом на океан. Дизайн выполнен в стиле модерн, с использованием отделки из натурального мрамора и мебели премиум класса.​",$ 290 000,108 м²,Таунхаус,Индонезия,9795,https://intermark.ru/objects/indoneziya-taunhaus-729591
Апартаменты рядом ​с пляжем Бату Белиг,Апартаменты рядом ​с пляжем Бату Белиг,Продажа апартаментов рядом ​с пляжем Бату Белиг в Индонезии на Бали от собственников в проекте со сдачей в 2024 году.,$ 291 000,82 м²,Квартира,Индонезия,9663,https://intermark.ru/objects/indoneziya-apartamenty-729088
Апартаменты по переуступке на первой линии в Нуса Дуа,Апартаменты по переуступке на первой линии в Нуса Дуа,"Продажа апартаментов по переуступке в премиальной локации на Буките по цене дешевле, чем у застройщика ​",$ 422 750,126 м²,Квартира,Индонезия,9662,https://intermark.ru/objects/indoneziya-apartamenty-729087
Комплекс апартаментов ​ в Убуде​,Комплекс апартаментов ​ в Убуде​,"Уютный комплекс с апартаментами на продажу в Индонезии с панорамным видом на джунгли и рисовые поля.​ Планировка во всех апартаментах продумана до мелочей, позволяя насладиться комфортным отдыхом и уединиться от повседневной суеты.",$ 87 000,50 м²,Квартира,Индонезия,9664,https://intermark.ru/objects/indoneziya-apartamenty-729106
Премиальные апартаменты  в Переренане,Премиальные апартаменты  в Переренане,Премиальный комплекс апартаментов с инфрастуктурой в набирающем популярность районе Переренан.,$ 137 000,39 м²,Квартира,Индонезия,9738,https://intermark.ru/objects/indoneziya-apartamenty-729494
"Таунхаус в Улувату, Индонезия","Таунхаус в Улувату, Индонезия","Эксклюзивный комплекс в сердце балийского острова - Улувату, в одном из самых перспективных районов острова Бали всего в 5-7 минутах от пляжей Бингин и Паданг Паданг. Удобное расположение в 10 минутах от магазинов, ресторанов, баров и отеля Hidden Hills Villas, а менее чем в часе езды находится международный аэропорт Нгураха Рая. К покупке предлагается полностью меблированный таунхаус площадью 80 м2. На первом этаже располагаются гостиная, кухня открытого типа, столовая зона, ванная комната и лестница, ведущая наверх. Планировка второго этажа включает 2 спальни, 2 ванные и коридор.",$ 350 000,80 м²,Таунхаус,Индонезия,9825,https://intermark.ru/objects/indoneziya-taunhaus-729621
Апартаменты с 1 спальней в районе Умалас,Апартаменты с 1 спальней в районе Умалас,Апартаменты на перепродаже от собственника в клубном инфраструктурном комплексе в районе Умалас на границе с Чангу – одном из самых модных районов острова.,$ 150 000,60 м²,Квартира,Индонезия,9826,https://intermark.ru/objects/indoneziya-apartamenty-729622
"Лофт - апартамент в Чангу, Индонезия","Лофт - апартамент в Чангу, Индонезия","Лофт в комплексе Secana Beachtown Resort & Residences на Бали - это современная квартира площадью 84 кв. м с одной спальней с большой двуспальной кроватью. Апартаменты оснащены кондиционером, балконом, собственной ванной комнатой, холодильником, кофеваркой и бесплатным Wi-Fi, а также предлагают вид на внутренний дворик. Комплекс, расположенный в Берава-Чангу, отличается стильной архитектурой, новейшими технологиями и инфраструктурой высокого класса. Для жильцов доступны: полный консьерж-сервис, подземный паркинг, 3 ресторана, тренажерный зал и фитнес-центр, коворкинг, студия пилатеса, сауна и хаммам, спа, кинотеатр под открытым небом, бассейн и бар на крыше. Расположенный в эпицентре Чангу, находится оживленный пригород Берава, который, несомненно, является самым популярным районом острова, предлагая идеальное сочетание островной жизни. Secana Beachtown расположен в 200 м от пляжа Берава, между Finns VIP Beach Club и отелем Como. Secana Beachtown Resort & Residences располагается на расстоянии 5,8 км и 11 км соответственно от таких достопримечательностей, как Храм Петитенгет и Автобусный вокзал Ubung. Международный аэропорт Нгурах-Рай находится в 16 км.",$ 290 000,84 м²,Квартира,Индонезия,9828,https://intermark.ru/objects/indoneziya-apartamenty-729624
Вилла в Улувату с видом на океан,Вилла в Улувату с видом на океан,"Lyvin Melasti Villas - это жемчужина в самом сердце южного Бали, расположенная в живописном районе Меласти. К продаже предлагается дизайнерская вилла с двумя спальнями, двумя ванными комнатами, просторной гостиной, кухней и зоной отдыха. Все комнаты меблированы и оснащены современной техникой. На террасе расположен частный инфинити-бассейн. Инфраструктура проекта включает панорамный ресторан и бар с библиотекой площадью 300 кв. м, конференц-зал, спа, фитнес-центр, детскую игровую комнату, просторный открытый бассейн и огромный лесопарк площадью 1 га. Район Меласти славится своим зеленым ландшафтом, развитой инфраструктурой и одними из лучших пляжей на острове. Уникальный холмистый рельеф создает ограниченное количество участков с прямым видом на океан, большинство из которых уже заняты мировыми отельными брендами. Lyvin Melasti Villas располагается на расстоянии 1,2 км и 6,6 км соответственно от таких достопримечательностей, как Пляж Топан и Парк Гаруда Вишну Кенчана. Международный аэропорт Нгурах-Рай находится в 13 км.",$ 800 000,300 м²,Вилла,Индонезия,9827,https://intermark.ru/objects/indoneziya-villa-729623
"Вилла в центре Убуда, Индонезия","Вилла в центре Убуда, Индонезия","Эксклюзивная вилла, расположенная в самом сердце Убуда, предлагает идеальное сочетание уединения и легкого доступа ко всем достопримечательностям, ресторанам и магазинам, которыми славится этот живописный район Бали. Вилла сдается с полной отделкой и меблировкой. Планировка включает , а также общую зону с уютной гостиной и полностью оборудованной кухней, частную террасу с К услугам владельцев также предусмотрена . Вилла : два кондиционера, микроволновая печь, холодильник, электрическая плита и водонагреватель – всё для комфортного проживания или сдачи в аренду. Вилла расположена в районе Убуд, культурном и духовном центре Бали. Район предлагает идеальное сочетание умиротворенной атмосферы и развитой инфраструктуры: от мировых центров йоги и изысканных ресторанов до уникальных галерей и знаковых достопримечательностей, таких как Священный Лес Обезьян.",$ 260 000,120 м²,Вилла,Индонезия,9829,https://intermark.ru/objects/indoneziya-villa-729625
"Дизайнерская вилла в Убуде, Бали, Индонезия","Дизайнерская вилла в Убуде, Бали, Индонезия","В продаже дизайнерская вилла под ключ в сердце Убуда, живописного района Бали. Green HAVEN — эксклюзивный комплекс из 18 дизайнерских вилл, расположенный в самом центре Убуда, в близости от лучших кафе, знаковых достопримечательностей и с оживленным туристическим трафику. Вилла сдается с полной отделкой и меблировкой. Планировка включает , а также общую зону с уютной гостиной и полностью оборудованной кухней, частную террасу с К услугам владельцев также предусмотрена . Вилла : два кондиционера, микроволновая печь, холодильник, электрическая плита и водонагреватель – всё для комфортного проживания или сдачи в аренду. Вилла расположена в районе Убуд, культурном и духовном центре Бали. Район предлагает идеальное сочетание умиротворенной атмосферы и развитой инфраструктуры: от мировых центров йоги и изысканных ресторанов до уникальных галерей и знаковых достопримечательностей, таких как Священный Лес Обезьян.",$ 260 000,120 м²,Вилла,Индонезия,9830,https://intermark.ru/objects/indoneziya-villa-729626
Готовая вилла в Джимбаране,Готовая вилла в Джимбаране,"Вилла в недавно сданном проекте от собственников. Заполняемость достигает 90% благодаря недостатку аналогов такой недвижимости в этом районе. участок 200-220 кв.м, мебель и оборудованная кухня, бассейн, паркинг 31 год с возможностью продления на 30 лет. фитнес-центр с бассейном 25 м, ​спа-комплекс, ресторан профессиональное управление на базе УК девелопера, у каждого юнита свой аккаунт на агрегаторах Премиальная и перспективная локация, где сконцентрирована главная туристическая инфраструктура острова, отели 5*, пляжи, пригодные для купания и лучшие серф-споты. ​",$ 300 000,100 м²,Вилла,Индонезия,9796,https://intermark.ru/objects/indoneziya-villa-729592
"Виллы в районе Бингин,​ п-ов Букит","Виллы в районе Бингин,​ п-ов Букит","Проект в районе Бингин на Буките находится в шаговой доступности до живописного пляжа.​ Каждый дом имеет просторный участок с собственным садом, бассейном и зоной для отдыха, что предоставляет жильцам высокий уровень приватности.",$ 238 000,133 м²,Вилла,Индонезия,9659,https://intermark.ru/objects/indoneziya-villa-729078
Вилла с 3 спальнями на Бали,Вилла с 3 спальнями на Бали,,$ 329 000,230 м²,Вилла,Индонезия,8225,https://intermark.ru/objects/bali-721985
Готовые таунхаусы с 2 спальнями,Готовые таунхаусы с 2 спальнями,,$ 295 000,210 м²,Таунхаус,Индонезия,8224,https://intermark.ru/objects/bali-taunhaus-721986
Апартаменты с 1 спальней рядом с пляжем Бату Белиг,Апартаменты с 1 спальней рядом с пляжем Бату Белиг,,$ 200 000 - 225 000,80 м²,Квартира,Индонезия,8181,https://intermark.ru/objects/indoneziya-apartamenty-724091
Вилла Бали с 2 спальнями в Гианьяре,Вилла Бали с 2 спальнями в Гианьяре,"Новый комплекс дизайнерских видовых вилл на Бали в Убуде. Заполняемость готовых вилл этого застройщика в Убуде достигает 90%. Количество юнитов в проекте: 15 вилл В стоимость входит: высокое качество строительства и отделки, премиальная сантехника, мебель, инфинити-бассейн, собственная скважина, придомовой паркинг Leasehold: 25 лет с правом продления на 25 лет по рыночной цене Тип управления: профессиональная УК с 13-летним опытом, у каждой виллы отдельное объявление на агрегаторах Девелопер: профессиональный застройщик, отмеченный престижной премией Property Awards Убуд является родиной ретритов и духовным центром Вали, здесь сосредоточено большинство туристических достопримечательностей и множество ретрит центров. Это спокойное место в глубине острова, среди живописных тропических лесов и природных парков. • в 10 минутах пешком до кафе Usha и нового фитнес-центра • в 10-15 минутах езды до центра Убуда • в 5-10 минутах на байке до природной инфраструктуры Убуда",$ 219 000,120 м²,Вилла,Индонезия,8226,https://intermark.ru/objects/bali-villa-721984
"Готовая вилла с 3 спальнями в Убуде, Bali","Готовая вилла с 3 спальнями в Убуде, Bali",,$ 399 000,300 м²,Вилла,Индонезия,5211,https://intermark.ru/objects/indoneziya-villa-725107
Готовые таунхаусы с 2 спальнями на Бали,Готовые таунхаусы с 2 спальнями на Бали,"Комплекс недавно сданных 3-этажных таунхаусов в центре популярнейшего района Бали, в 3 минутах на байке до пляжа Берава. Видовые характеристики сохранятся, соседняя земля принадлежит государству и не будет застраиваться. Количество юнитов в проекте: 8 таунхаусов Доходность: 10-13% В стоимость входит: отделка и меблировка, участок 100 кв.м, садовая терраса, видовой балкон, видовая терраса на крыше с джакузи и местом для оборудования BBQ зоны, парковочное место перед каждым таунхаусом Рассрочка: нет, готовый проект. Leasehold: 35 лет Локация: в центре популярного района Берава, при этом в спокойной атмосфере в конце тихого переулка с видом на рисовые поля Инфраструктура комплекса: круглосуточная охрана, кафе Тип управления: сторонняя управляющая компания • в 3 минутах на байке и в 13 минутах пешком до пляжа Берава • рядом с пляжными клубами Atlas и Finns, а также развлекательным клубом Finns Recreation Club (фитнес, теннис, боулинг, футбол, детский клуб, коворкинг) • в 5 минутах пешком до международной школы Montessori",$ 295 000,210 м²,Таунхаус,Индонезия,5210,https://intermark.ru/objects/indoneziya-taunhaus-725108
"Дизайнерская видовая вилла с 2 спальнями в Убуде, Bali","Дизайнерская видовая вилла с 2 спальнями в Убуде, Bali","Видовые, дизайнерские виллы на Бали в Убуде. Заполняемость готовых вилл этого застройщика в Убуде достигает 90%. Количество юнитов в проекте: 15 вилл В стоимость входит: высокое качество строительства и отделки, премиальная сантехника, мебель, инфинити-бассейн, собственная скважина, придомовой паркинг Доходность: 12-14% годовых Leasehold: 25 лет с правом продления на 25 лет по рыночной цене Тип управления: профессиональная УК с 13-летним опытом, у каждой виллы отдельное объявление на агрегаторах Девелопер: профессиональный застройщик, отмеченный престижной премией Property Awards Убуд является родиной ретритов и духовным центром Вали, здесь сосредоточено большинство туристических достопримечательностей и множество ретрит центров. Это спокойное место в глубине острова, среди живописных тропических лесов и природных парков. • в 10 минутах пешком до кафе Usha и нового фитнес-центра • в 10-15 минутах езды до центра Убуда • в 5-10 минутах на байке до природной инфраструктуры Убуда",$ 219 000,120 м²,Вилла,Индонезия,5208,https://intermark.ru/objects/indoneziya-villa-725110
Дизайнерская видовая вилла на Бали с 3 спальнями в Убуде,Дизайнерская видовая вилла на Бали с 3 спальнями в Убуде,"Дизайнерские видовые виллы на Бали в Убуде. Заполняемость готовых вилл этого застройщика в Убуде достигает 90%. Количество юнитов в проекте: 15 вилл В стоимость входит: высокое качество строительства и отделки, премиальная сантехника, мебель, инфинити-бассейн, собственная скважина, придомовой паркинг Доходность: 12-14% годовых Leasehold: 25 лет с правом продления на 25 лет по рыночной цене Тип управления: профессиональная УК с 13-летним опытом, у каждой виллы отдельное объявление на агрегаторах Девелопер: профессиональный застройщик, отмеченный престижной премией Property Awards Убуд является родиной ретритов и духовным центром Вали, здесь сосредоточено большинство туристических достопримечательностей и множество ретрит центров. Это спокойное место в глубине острова, среди живописных тропических лесов и природных парков. • в 10 минутах пешком до кафе Usha и нового фитнес-центра • в 10-15 минутах езды до центра Убуда • в 5-10 минутах на байке до природной инфраструктуры Убуда",$ 329 000,230 м²,Вилла,Индонезия,5209,https://intermark.ru/objects/indoneziya-villa-725109
Таунхаусы с видом на океан в Улувату,Таунхаусы с видом на океан в Улувату,"Комплекс из 19 апартаментов и таунхаусов на живописном утесе в Улувату с видом на океан из каждого юнита. В стоимость входит: вид на океан, меблировка и бытовая техника, 2 типа дизайна на выбор. Инфраструктура комплекса: инфинити-бассейн, тренажерный зал, ресторан, коворкинг Профессиональное управление на базе УК девелопера. Минимальная гарантированная доходность 12% на 1 год закрепляется в контракте. Leasehold на 99 лет (30+30+39). Рассрочка: 25% первый взнос, далее каждые 3 месяца по 25% до конца строительства О локации: Премиальная и перспективная локация, где сконцентрирована главная туристическая инфраструктура острова - аэропорт, первая скоростная платная дорога, торговые центры, отели 5*. Набирающий популярность район Улувату на полуострове Букит. Здесь находятся лучшие серф-споты острова. • в 5 минутах до пляжа Бингин • в 7 минутах до пляжа Паданг Паданг • рядом с ресторанами и барами",$ 350 000,80 м²,Таунхаус,Индонезия,5463,https://intermark.ru/objects/indoneziya-taunhaus-725291
Вилла с видом на океан на Буките,Вилла с видом на океан на Буките,"Готовый к покупке комплекс закрытого типа из 10 3-спальных вилл на полуострове Букит в южной части Бали. В цену включен собственный сад, бассейн 8х3 м, полная отделка и меблировка под ключ, полное управление недвижимостью, а также leasehold на землю на 29 лет с приоритетным правом продления общим сроком на 54 года. На территории жилого комплекса есть спа-центр с сауной, ресторан средиземноморской кухни и детский центр. Средняя прогнозируемая цена за ночь – 350 USD, прогнозируемая заполняемость – 80-90%.",$ 770 000,310 м²,Вилла,Индонезия,9132,https://intermark.ru/objects/indoneziya-villa-727238
Апартаменты напротив Nuanu City​,Апартаменты напротив Nuanu City​,Предлгаем купить апартаменты напротив креативного пространства Nuanu – нового центра притяжения на осрове. Шатлы до Nuanu отправляются с парковки комплекса каждые 2 минуты.,$ 135 000 - 255 000,46 м²,Квартира,Индонезия,9623,https://intermark.ru/objects/indoneziya-apartamenty-728912
"Концептуальные виллы  в Чангу, зона Умалас","Концептуальные виллы  в Чангу, зона Умалас","Виллы расположенные в Чангу, всего в нескольких минутах ходьбы до ключевых точек притяжения туристов. При этом локация отдалена от шумных кварталов, толп туристов и городского трафика, защищая спокойствие и гармонию своих жильцов",$ 492 757,159 м²,Вилла,Индонезия,9628,https://intermark.ru/objects/indoneziya-villa-728939
Дизайнерские виллы​ в центре Убуда,Дизайнерские виллы​ в центре Убуда,"Дизайнерский бутик-комплекс – культурного центра с уникальной природой и атмосферой. ​Готовые проекты этого застройщика в Убуде сдаются в краткосрочную аренду с доходностью около 15% годовых, а их заполняемость достигает 85-90%.​",$ 259 000,120 м²,Вилла,Индонезия,9645,https://intermark.ru/objects/indoneziya-villa-728963
Апартаменты​ на Бали с видом на океан в Улувату,Апартаменты​ на Бали с видом на океан в Улувату,"Bсего 44 апартамента на Бали с прямым видом на океан на участке 57 соток, 60% территории занимает зелень. В шаговой доступности пляж Улувату. ​",$ 396 000,81 м²,Квартира,Индонезия,9646,https://intermark.ru/objects/indoneziya-apartamenty-728964
Апартаменты​ на Бали в Бераве,Апартаменты​ на Бали в Бераве,"Доступные к покупке современные апартаменты, расположенные в живописном районе острова Бали.​ Комплекс ориентирован на создание комфортной и уютной атмосферы для своих жителей с большой инфраструктурой и удобным расположением.",$ 96 320,30 м²,Квартира,Индонезия,9661,https://intermark.ru/objects/indoneziya-apartamenty-728966
Недвижимость с 2 спальнями рядом с пляжем Бату Белиг,Недвижимость с 2 спальнями рядом с пляжем Бату Белиг,,$ 350 000,124 м²,Квартира,Индонезия,8180,https://intermark.ru/objects/indoneziya-apartamenty-724092
Дизайнерские виллы​ на Бали на пляже Баланган,Дизайнерские виллы​ на Бали на пляже Баланган,"Комплекс дизайнерских вилл на Бали, расположенный рядом с пляжем Баланган на полуострове Букит. Комплекс ориентирован на создание комфортной и уютной атмосферы в шаговой доступности до океана.",$ 890 000,370 м²,Вилла,Индонезия,9656,https://intermark.ru/objects/indoneziya-villa-728968
"Вилла с 3 спальнями с видом на рисовые поля в Чангу, Bali","Вилла с 3 спальнями с видом на рисовые поля в Чангу, Bali",,$ 472 500,300 м²,Вилла,Индонезия,5212,https://intermark.ru/objects/indoneziya-villa-725106
Уединенный комплекс​ апартаментов на Бали на острове Сумбава,Уединенный комплекс​ апартаментов на Бали на острове Сумбава,,$ 170 000,46 м²,Квартира,Индонезия,9648,https://intermark.ru/objects/indoneziya-apartamenty-728969
Апартаменты на утесе ​в Улувату,Апартаменты на утесе ​в Улувату,Доступный к покупке премиальный комплекс апартаментов с инфраструктурой и обслуживанием уровня отелей 5*. Апартаменты подойдут для собственного проживания и сдачи в аренду.,$ 380 400,77 м²,Квартира,Индонезия,9649,https://intermark.ru/objects/indoneziya-apartamenty-728974
Апартаменты на Бали на первой линии в Нуса Дуа,Апартаменты на Бали на первой линии в Нуса Дуа,"Апартаменты в премиальной локации на Буките. Здание будет расположено непосредственно на пляже, что редкость для первичной недвижимости на Бали. ​",$ 259 000,83 м²,Квартира,Индонезия,9650,https://intermark.ru/objects/indoneziya-apartamenty-728975
Дома на Бали в центре всей инфраструктуры Беравы,Дома на Бали в центре всей инфраструктуры Беравы,Придлагаем Вам купить виллу в новом комплексе в центре всей инфраструктуры популярнейших туристических районов острова в Чангу. Редкая возможность оформления во freehold или leasehold на 100 лет. ​,$ 1 137 438,368 м²,Дом,Индонезия,9651,https://intermark.ru/objects/indoneziya-villa-728976
Номера и виллы ​на острове Гили,Номера и виллы ​на острове Гили,"Предлагаем Вам купить номера и виллы ​на острове Гили, в единственном 5-звездочном курорте на острове, расположенный на берегу моря. Высокий пассивный доход от аренды, высокий прирост капитала. Заполняемость обеспечивается отсутствием на острове сопоставимой недвижимости такого уровня.",$ 199 000,47 м²,Квартира,Индонезия,9652,https://intermark.ru/objects/indoneziya-apartamenty-villa-729034
Номера в отеле​ в Улувату,Номера в отеле​ в Улувату,Продажа номеров в отеле в Буките в районе Улувату от международного бренда с концепцией комьюнити для современных путешественников.,$ 139 230,34 м²,Квартира,Индонезия,9653,https://intermark.ru/objects/indoneziya-apartamenty-729036
Вилла ​в Убуде,Вилла ​в Убуде,Вилла ​на Бали (Индонезия) на перепродаже от собственника в бутик-проекте с дизайнерскими видовыми виллами. ​ Заполняемость аналогичных готовых вилл этого застройщика в Убуде достигает 90%.​,$ 297 700,120 м²,Вилла,Индонезия,9657,https://intermark.ru/objects/indoneziya-villa-729070
Дизайнерские апартаменты рядом с пляжем Берава,Дизайнерские апартаменты рядом с пляжем Берава,Уютные дизайнерские апартаменты в Чангу на Бали в Индонезии в шаговой доступности до пляжей и пляжных клубов в популярном туристическом районе Берава. ​ Комплекс апартаментов оборудован необходимой инфраструктурой для комфортной жизни и уединенного отдыха от шумных туристических мест острова.,$ 120 000,33 м²,Квартира,Индонезия,9658,https://intermark.ru/objects/indoneziya-apartamenty-729077
Вилла с 1 спальней в Убуде,Вилла с 1 спальней в Убуде,,$ 199 000,100 м²,Вилла,Индонезия,8227,https://intermark.ru/objects/bali-villa-721983
Таунхаусы рядом с пляжем Берава на Бали,Таунхаусы рядом с пляжем Берава на Бали,"Комплекс из 12 таунхаусов на Бали в центре всей инфраструктуры района Чангу, в шаговой доступности океан, множество баров, ресторанов и магазинов. Также недалеко пляжные клубы. Таунхаусы полностью меблированы и оборудованы премиальной техникой. Доступно 2 типа дизайна интерьеров на выбор. На участке площадью 82 кв.м есть собственный сад и бассейн. Парикнг у входа в таунхаус.",$ 310 000,91 м²,Таунхаус,Индонезия,8359,https://intermark.ru/objects/indoneziya-taunhaus-721850
"Готовый таунхаус в Джимбаране, полуостров Букит","Готовый таунхаус в Джимбаране, полуостров Букит","Готовый к покупке таунхаус на Бали в сданном проекте от собственника - доход сразу. Готовые объекты – редкость для Бали, таунхаус имеет раскрученный аккаунт на Airbnb и уже генерирует доход от аренды. В стоимость входит: leasehold на 30 лет с возможностью продления до 97 лет, участок 200 кв.м, мебель и оборудованная кухня, бассейн, паркинг. Инфраструктура комплекса: фитнес-центр с бассейном 25 м, SPA, ресторан. Профессиональное отельное управление. Заполняемость достигает 90% благодаря недостатку аналогов в локации. Текущая доходность от сдачи в аренду: 14% годовых О локации: Район Джимбаран на полуострове Букит, в окружении развитой туристической инфраструктуры, отелей премиум сегмента, ресторанов, баров • В 2 минутах до пляжа Джимабаран и пляжного клуба • В окружении отелей премиум сегмента (между отелями Four Seasons и Raffles) • Рядом с прибрежными ресторанами и барами • В 15 минутах езды до аэропорта",$ 660 000,200 м²,Таунхаус,Индонезия,8340,https://intermark.ru/objects/indoneziya-taunhaus-721869
"Готовый таунхаус в Джимбаране, полуостров Букит","Готовый таунхаус в Джимбаране, полуостров Букит",,$ 590 000,168 м²,Таунхаус,Индонезия,8339,https://intermark.ru/objects/indoneziya-taunhaus-721870
Апартаменты в Нуса Дуа на первой линии океана,Апартаменты в Нуса Дуа на первой линии океана,"Доступные к покупке 99 квартир с 1-3 спальнями в Нуса Дуа. Объект будет расположен прямо на берегу моря, что является редкостью для элитной недвижимости на Бали.",$ 278 700,83 м²,Квартира,Индонезия,8341,https://intermark.ru/objects/indoneziya-apartamenty-721868
Таунхаусы рядом с пляжем Берава,Таунхаусы рядом с пляжем Берава,,$ 225 000,70 м²,Таунхаус,Индонезия,8315,https://intermark.ru/objects/indoneziya-taunhaus-721894
Готовая вилла у пляжа Бингин,Готовая вилла у пляжа Бингин,,$ 787 922,265 м²,Вилла,Индонезия,8338,https://intermark.ru/objects/indoneziya-villa-721871
Виллы с видом на океан в Улувату,Виллы с видом на океан в Улувату,,$ 500 000,186 м²,Вилла,Индонезия,8314,https://intermark.ru/objects/indoneziya-villa-721895
Виллы с видом на океан на полуострове Букит,Виллы с видом на океан на полуострове Букит,,$ 610 000,200 м²,Вилла,Индонезия,8254,https://intermark.ru/objects/indoneziya-villa-721956
Готовая вилла с 3 спальнями,Готовая вилла с 3 спальнями,,$ 460 000,300 м²,Вилла,Индонезия,8228,https://intermark.ru/objects/bali-villa-721982
Виллы рядом с пляжем в южной части Бали,Виллы рядом с пляжем в южной части Бали,,$ 724 000 - 856 000,255 м²,Вилла,Индонезия,8950,https://intermark.ru/objects/indoneziya-novostroyka-721207
Потрясающий комплекс вилл в Чангу,Потрясающий комплекс вилл в Чангу,"В продаже комплекс вилл расположенный в районе Чангу. Виллы полностью меблированы и выполнены в современном стиле. Каждая вилла имеет просторную гостиную, большие спальни, большой бассейн в саду и дополнительный бассейн на крыше.",$ 570 000 - 825 000,263 м²,Вилла,Индонезия,8922,https://intermark.ru/objects/bali-villa-721248
